Algorithm,InputType,n,Comparisons,Swaps,CPUTime
Bubble,Sorted,100,99,0,0
Insertion,Sorted,100,198,0,0
Selection,Sorted,100,5148,0,8
Quick,Sorted,100,5628,282,3
Merge,Sorted,100,6121,775,27
Heap,Sorted,100,7202,1415,9
Insertion,Sorted,12,7616,1608,1577
Counting,Sorted,100,7715,1708,2
Bubble,Reverse,100,7814,1708,0
Insertion,Reverse,100,7913,1708,0
Selection,Reverse,100,12863,1708,6
Quick,Reverse,100,13343,1990,4
Merge,Reverse,100,13836,2483,18
Heap,Reverse,100,14917,3123,7
Insertion,Reverse,12,15331,3316,1254
Counting,Reverse,100,15430,3416,2
Bubble,Random,100,20352,5997,34
Insertion,Random,100,20451,5997,0
Selection,Random,100,25401,5997,11
Quick,Random,100,25881,6279,3
Merge,Random,100,26374,6772,26
Heap,Random,100,27455,7412,7
Insertion,Random,12,27869,7605,1711
Counting,Random,100,27968,7705,2
Bubble,Sorted,300,299,0,0
Insertion,Sorted,300,598,0,0
Selection,Sorted,300,45448,0,58
Quick,Sorted,300,47346,1056,8
Merge,Sorted,300,49179,2889,41
Heap,Sorted,300,53411,5299,32
Insertion,Sorted,9,55200,6166,5390
Counting,Sorted,300,55499,6466,4
Bubble,Reverse,300,55798,6466,0
Insertion,Reverse,300,56097,6466,1
Selection,Reverse,300,100947,6466,87
Quick,Reverse,300,102845,7522,11
Merge,Reverse,300,104678,9355,42
Heap,Reverse,300,108910,11765,26
Insertion,Reverse,9,110699,12632,5768
Counting,Reverse,300,110998,12932,4
Bubble,Random,300,155770,36002,173
Insertion,Random,300,156069,36002,0
Selection,Random,300,200919,36002,57
Quick,Random,300,202817,37058,8
Merge,Random,300,204650,38891,42
Heap,Random,300,208882,41301,26
Insertion,Random,9,210671,42168,5297
Counting,Random,300,210970,42468,4
Bubble,Sorted,500,499,0,0
Insertion,Sorted,500,998,0,1
Selection,Sorted,500,125748,0,177
Quick,Sorted,500,129246,1977,26
Merge,Sorted,500,132545,5276,86
Heap,Sorted,500,140301,9630,55
Insertion,Sorted,15,143389,11096,5659
Counting,Sorted,500,143888,11596,6
Bubble,Reverse,500,144387,11596,0
Insertion,Reverse,500,144886,11596,1
Selection,Reverse,500,269636,11596,158
Quick,Reverse,500,273134,13573,13
Merge,Reverse,500,276433,16872,68
Heap,Reverse,500,284189,21226,47
Insertion,Reverse,15,287277,22692,5215
Counting,Reverse,500,287776,23192,7
Bubble,Random,500,412316,85333,458
Insertion,Random,500,412815,85333,1
Selection,Random,500,537565,85333,159
Quick,Random,500,541063,87310,14
Merge,Random,500,544362,90609,66
Heap,Random,500,552118,94963,46
Insertion,Random,15,555206,96429,5309
Counting,Random,500,555705,96929,5
Bubble,Sorted,1000,999,0,1
Insertion,Sorted,1000,1998,0,3
Selection,Sorted,1000,501498,0,674
Quick,Sorted,1000,509485,4449,30
Merge,Sorted,1000,516836,11800,133
Heap,Sorted,1000,534419,21508,101
Insertion,Sorted,15,541588,24938,10471
Counting,Sorted,1000,542587,25938,16
Bubble,Reverse,1000,543586,25938,1
Insertion,Reverse,1000,544585,25938,2
Selection,Reverse,1000,1044085,25938,668
Quick,Reverse,1000,1052072,30387,30
Merge,Reverse,1000,1059423,37738,134
Heap,Reverse,1000,1077006,47446,101
Insertion,Reverse,15,1084175,50876,11222
Counting,Reverse,1000,1085174,51876,12
Bubble,Random,1000,1584008,303191,1875
